date,election,hilary,trump
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:36:00,1.00,19.72,1.00
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:35:00,1.00,1.00,1.00
08/11/2016 16:35:00,0.11,1.00,1.00
08/11/2016 16:35:00,1.00,0.93,1.00
08/11/2016 16:34:00,21.27,1.00,1.00
08/11/2016 16:34:00,2.32,1.00,1.00
08/11/2016 16:34:00,1.00,0.11,1.00
08/11/2016 16:34:00,1.00,0.11,1.00
08/11/2016 16:34:00,1.00,0.11,1.00
08/11/2016 16:33:00,1.00,0.06,1.00
08/11/2016 16:33:00,1.00,38.67,1.00
08/11/2016 16:33:00,2.32,1.00,1.00
08/11/2016 16:33:00,1.00,0.11,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,1.00,0.11,1.00
08/11/2016 16:33:00,0.93,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,1.00,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:32:00,0.11,1.00,1.00
08/11/2016 16:32:00,1.00,37.12,1.00
08/11/2016 16:32:00,0.11,1.00,1.00
08/11/2016 16:32:00,1.00,0.93,1.00
08/11/2016 16:32:00,19.72,1.00,1.00
08/11/2016 16:32:00,0.11,1.00,1.00
08/11/2016 16:31:00,1.00,1.00,1.00
08/11/2016 16:31:00,0.11,1.00,1.00
08/11/2016 16:31:00,0.11,1.00,1.00
08/11/2016 16:31:00,1.00,0.11,1.00
08/11/2016 16:31:00,0.06,1.00,1.00
08/11/2016 16:31:00,19.72,1.00,1.00
08/11/2016 16:31:00,0.11,1.00,1.00
08/11/2016 16:31:00,0.93,1.00,1.00
08/11/2016 16:30:00,0.93,1.00,1.00
08/11/2016 16:30:00,1.00,1.00,1.00
08/11/2016 16:30:00,1.00,1.00,0.93
08/11/2016 16:30:00,0.06,1.00,1.00
08/11/2016 16:30:00,0.11,1.00,1.00
08/11/2016 16:30:00,0.11,1.00,1.00
08/11/2016 16:29:00,0.47,1.00,1.00
08/11/2016 16:29:00,1.00,1.00,1.00
08/11/2016 16:29:00,0.11,1.00,1.00
08/11/2016 16:29:00,1.00,0.11,1.00
08/11/2016 16:29:00,0.06,1.00,1.00
08/11/2016 16:29:00,0.93,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,1.00,0.11,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,1.00,19.72,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:27:00,1.00,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:26:00,1.74,1.00,1.00
08/11/2016 16:26:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:26:00,0.11,1.00,1.00
08/11/2016 16:26:00,0.11,1.00,1.00
08/11/2016 16:25:00,2.32,1.00,1.00
08/11/2016 16:25:00,0.11,1.00,1.00
08/11/2016 16:25:00,0.11,1.00,1.00
08/11/2016 16:25:00,0.93,1.00,1.00
08/11/2016 16:25:00,1.00,1.00,1.00
08/11/2016 16:24:00,1.00,1.00,1.00
08/11/2016 16:24:00,0.11,1.00,1.00
08/11/2016 16:24:00,0.11,1.00,1.00
08/11/2016 16:24:00,0.11,1.00,1.00
08/11/2016 16:24:00,0.47,1.00,1.00
08/11/2016 16:23:00,0.11,1.00,1.00
08/11/2016 16:23:00,1.00,1.74,1.00
08/11/2016 16:23:00,0.93,1.00,1.00
08/11/2016 16:23:00,1.82,1.00,1.00
08/11/2016 16:23:00,1.74,1.00,1.00
08/11/2016 16:23:00,0.06,1.00,1.00
08/11/2016 16:22:00,0.47,1.00,1.00
08/11/2016 16:22:00,1.00,0.11,1.00
08/11/2016 16:22:00,0.11,1.00,1.00
08/11/2016 16:22:00,1.00,0.11,1.00
08/11/2016 16:22:00,1.00,0.11,1.00
08/11/2016 16:22:00,2.32,1.00,1.00
08/11/2016 16:22:00,1.00,1.00,1.00
08/11/2016 16:21:00,1.89,1.00,1.00
08/11/2016 16:21:00,0.93,1.00,1.00
08/11/2016 16:21:00,0.11,1.00,1.00
08/11/2016 16:21:00,1.00,1.00,1.00
08/11/2016 16:21:00,0.11,1.00,1.00
08/11/2016 16:21:00,1.00,1.00,1.00
08/11/2016 16:21:00,0.11,1.00,1.00
08/11/2016 16:20:00,1.00,19.72,1.00
08/11/2016 16:20:00,1.00,0.11,1.00
08/11/2016 16:20:00,0.11,1.00,1.00
08/11/2016 16:20:00,1.00,38.67,1.00
08/11/2016 16:19:00,0.11,1.00,1.00
08/11/2016 16:19:00,0.11,1.00,1.00
08/11/2016 16:19:00,1.00,19.72,1.00
08/11/2016 16:18:00,1.00,2.32,1.00
08/11/2016 16:18:00,0.11,1.00,1.00
08/11/2016 16:17:00,0.11,1.00,1.00
08/11/2016 16:17:00,1.00,1.00,0.11
08/11/2016 16:17:00,0.11,1.00,1.00
08/11/2016 16:17:00,1.00,0.11,1.00
08/11/2016 16:17:00,1.00,1.00,1.00
08/11/2016 16:17:00,2.64,1.00,1.00
08/11/2016 16:17:00,1.00,0.11,1.00
08/11/2016 16:16:00,1.00,0.11,1.00
08/11/2016 16:16:00,0.11,1.00,1.00
08/11/2016 16:16:00,0.11,1.00,1.00
08/11/2016 16:16:00,1.00,0.11,1.00
08/11/2016 16:16:00,0.11,1.00,1.00
08/11/2016 16:16:00,0.11,1.00,1.00
08/11/2016 16:16:00,0.11,1.00,1.00
08/11/2016 16:15:00,0.11,1.00,1.00
08/11/2016 16:15:00,1.00,0.93,1.00
08/11/2016 16:15:00,1.00,19.72,1.00
08/11/2016 16:15:00,0.11,1.00,1.00
08/11/2016 16:15:00,1.00,1.00,1.00
09/11/2016 02:23:00,0.93,1.00,1.00
09/11/2016 06:18:00,1.00,19.72,1.00
09/11/2016 06:14:00,0.11,1.00,1.00
09/11/2016 05:48:00,0.11,1.00,1.00
09/11/2016 05:46:00,0.93,1.00,1.00
09/11/2016 05:26:00,0.11,1.00,1.00
09/11/2016 05:15:00,19.72,1.00,1.00
09/11/2016 05:14:00,0.11,1.00,1.00
09/11/2016 05:08:00,0.11,1.00,1.00
09/11/2016 05:06:00,1.00,2.32,1.00
09/11/2016 06:46:00,0.93,1.00,1.00
09/11/2016 04:26:00,38.67,1.00,1.00
09/11/2016 04:21:00,2.32,1.00,1.00
09/11/2016 03:56:00,0.11,1.00,1.00
09/11/2016 03:55:00,1.00,2.64,1.00
09/11/2016 03:47:00,1.82,1.00,1.00
09/11/2016 03:44:00,1.00,0.93,1.00
09/11/2016 03:42:00,5.31,1.00,1.00
09/11/2016 03:40:00,1.00,1.00,1.00
09/11/2016 03:38:00,1.00,1.00,1.00
09/11/2016 03:36:00,1.00,1.74,1.00
09/11/2016 03:22:00,2.32,1.00,1.00
09/11/2016 03:14:00,1.00,1.00,2.39
09/11/2016 03:06:00,1.00,56.07,1.00
09/11/2016 03:03:00,1.00,19.72,1.00
09/11/2016 03:02:00,1.00,1.89,1.00
09/11/2016 02:56:00,1.00,1.00,2.64
09/11/2016 02:49:00,1.00,1.00,0.11
09/11/2016 02:48:00,2.32,1.00,1.00
09/11/2016 02:41:00,0.11,1.00,1.00
09/11/2016 02:35:00,2.64,1.00,1.00
09/11/2016 02:28:00,1.00,1.00,19.72
09/11/2016 02:27:00,75.03,1.00,1.00
09/11/2016 04:33:00,0.11,1.00,1.00
08/11/2016 16:15:00,1.00,2.32,1.00
09/11/2016 13:06:00,0.47,1.00,1.00
09/11/2016 12:57:00,0.11,1.00,1.00
09/11/2016 06:54:00,0.93,1.00,1.00
09/11/2016 09:02:00,0.06,1.00,1.00
09/11/2016 12:50:00,1.00,1.00,1.00
09/11/2016 11:16:00,1.00,1.00,0.49
09/11/2016 08:51:00,0.06,1.00,1.00
09/11/2016 08:44:00,1.00,0.11,1.00
09/11/2016 10:10:00,0.11,1.00,1.00
09/11/2016 09:56:00,1.00,2.32,1.00
09/11/2016 09:20:00,1.00,1.00,1.00
09/11/2016 09:07:00,1.00,0.11,1.00
09/11/2016 07:39:00,1.00,21.27,1.00
09/11/2016 07:23:00,0.06,1.00,1.00
08/11/2016 16:15:00,1.00,1.00,21.27
08/11/2016 16:15:00,1.00,1.00,1.00
08/11/2016 16:15:00,0.11,1.00,1.00
08/11/2016 16:15:00,1.00,1.00,1.00
08/11/2016 16:15:00,1.00,1.00,1.00
08/11/2016 16:15:00,1.00,1.82,1.00
08/11/2016 16:15:00,0.51,1.00,1.00
08/11/2016 16:14:00,0.51,1.00,1.00
08/11/2016 16:14:00,1.00,0.06,1.00
08/11/2016 16:14:00,0.93,1.00,1.00
08/11/2016 16:14:00,0.11,1.00,1.00
08/11/2016 16:14:00,0.11,1.00,1.00
08/11/2016 16:14:00,0.11,1.00,1.00
08/11/2016 16:13:00,0.47,1.00,1.00
08/11/2016 16:13:00,0.06,1.00,1.00
08/11/2016 16:13:00,0.11,1.00,1.00
08/11/2016 16:14:00,0.11,1.00,1.00
08/11/2016 16:13:00,0.11,1.00,1.00
08/11/2016 16:13:00,0.11,1.00,1.00
08/11/2016 16:12:00,0.11,1.00,1.00
08/11/2016 16:12:00,0.93,1.00,1.00
08/11/2016 16:12:00,0.11,1.00,1.00
08/11/2016 16:12:00,2.32,1.00,1.00
08/11/2016 16:12:00,1.00,1.00,1.00
08/11/2016 16:11:00,1.00,0.11,1.00
08/11/2016 16:11:00,1.00,0.11,1.00
08/11/2016 16:11:00,0.11,1.00,1.00
08/11/2016 16:11:00,1.00,0.11,1.00
08/11/2016 16:11:00,1.00,0.06,1.00
08/11/2016 16:11:00,0.11,1.00,1.00
08/11/2016 16:11:00,2.32,1.00,1.00
08/11/2016 16:10:00,0.11,1.00,1.00
08/11/2016 16:10:00,0.93,1.00,1.00
08/11/2016 16:10:00,0.11,1.00,1.00
08/11/2016 16:10:00,1.00,0.93,1.00
08/11/2016 16:10:00,0.06,1.00,1.00
08/11/2016 16:10:00,1.00,0.11,1.00
08/11/2016 16:10:00,38.67,1.00,1.00
08/11/2016 16:10:00,0.11,1.00,1.00
08/11/2016 16:10:00,0.11,1.00,1.00
08/11/2016 16:10:00,1.00,0.93,1.00
