date,GISS,HAD,NOAA
8/11/2016 12:09,0.47,1,1
8/11/2016 12:10,1,0.11,1
8/11/2016 12:10,0.67,1,1
8/11/2016 12:10,1,1,1
8/11/2016 12:10,0.11,1,1
8/11/2016 12:10,0.11,1,1
8/11/2016 12:10,0.51,1,1
8/11/2016 12:10,0.06,1,1
8/11/2016 12:11,1,1,1
8/11/2016 12:11,0.04,1,1
8/11/2016 12:12,0.93,1,1
8/11/2016 12:12,1.42,1,1
8/11/2016 12:12,0.11,1,1
8/11/2016 12:12,1,2.32,1
8/11/2016 12:12,0.06,1,1
8/11/2016 12:12,1,0.11,1
8/11/2016 12:13,1,1,0.11
8/11/2016 12:13,0.11,1,1
8/11/2016 12:13,0.93,1,1
8/11/2016 12:14,0.11,1,1
8/11/2016 12:14,1,1.82,1
8/11/2016 12:14,0.51,1,1
8/11/2016 12:14,0.93,1,1
8/11/2016 12:14,21.27,1,1
8/11/2016 12:14,1,0.11,1
8/11/2016 12:15,0.11,1,1
8/11/2016 12:15,0.11,1,1
8/11/2016 12:15,0.51,1,1
8/11/2016 12:16,1,21.27,1
8/11/2016 12:16,0.11,1,1
8/11/2016 12:16,0.06,1,1
8/11/2016 12:16,0.93,1,1
8/11/2016 12:16,0.06,1,1
8/11/2016 12:16,0.51,1,1
8/11/2016 12:16,0.11,1,1
8/11/2016 12:16,0.11,1,1
8/11/2016 12:17,0.06,1,1
8/11/2016 12:17,0.06,1,1
8/11/2016 12:17,1.82,1,1
8/11/2016 12:18,2.32,1,1
8/11/2016 12:18,0.11,1,1
8/11/2016 12:18,38.67,1,1
8/11/2016 12:18,0.11,1,1
8/11/2016 12:20,2.32,1,1
8/11/2016 12:20,4.49,1,1
8/11/2016 12:20,0.47,1,1
8/11/2016 12:20,1.39,1,1
8/11/2016 12:21,1,0.11,1
8/11/2016 12:21,1,0.11,1
8/11/2016 12:21,0.11,1,1
8/11/2016 12:21,0.11,1,1
8/11/2016 12:21,1.82,1,1
8/11/2016 12:22,0.11,1,1
8/11/2016 12:22,0.11,1,1
8/11/2016 12:22,0.11,1,1
8/11/2016 12:22,0.93,1,1
8/11/2016 12:23,0.11,1,1
8/11/2016 12:23,1,19.72,1
8/11/2016 12:23,1,0.93,1
8/11/2016 12:23,0.11,1,1
8/11/2016 12:24,1,1,1
8/11/2016 12:24,0.93,1,1
8/11/2016 12:24,0.51,1,1
8/11/2016 12:24,0.11,1,1
8/11/2016 12:24,1.89,1,1
8/11/2016 12:24,0.97,1,1
8/11/2016 12:25,0.06,1,1
8/11/2016 12:25,2.32,1,1
8/11/2016 12:25,1,1,1
8/11/2016 12:25,1,0.93,1
